network,siteid,siteName,county,state,latitude,longitude,elevation,status,startdate,stopdate
NTN,MT00,Little Bighorn Battlefield National Monument,Big Horn,MT,45.5701,-107.4380,962,A,1984-07-13 05:00,
NTN,MT05,Glacier National Park-Fire Weather Station,Flathead,MT,48.5102,-113.9970,964,A,1980-06-03 05:00,
NTN,MT07,Clancy,Jefferson,MT,46.4850,-112.0647,1448,A,1984-01-24 06:00,
NTN,MT13,Give Out Morgan,Roosevelt,MT,48.4886,-105.2083,806,I,1982-09-14 05:00,1998-12-15 06:00
NTN,MT96,Poplar River,Roosevelt,MT,48.3149,-105.1440,640,A,1999-12-21 06:00,
NTN,MT97,Lost Trail Pass,Ravalli,MT,45.6920,-113.9680,2401,A,1990-09-25 05:00,
NTN,MT98,Havre - Northern Agricultural Research Center,Hill,MT,48.5007,-109.7980,819,A,1985-07-30 05:00,
NTN,MT99,Glacier National Park-St Mary Ranger Station,Glacier,MT,48.7411,-113.4300,1391,I,1983-01-25 06:00,1989-11-28 06:00
NTN,NC03,Lewiston,Bertie,NC,36.1325,-77.1708,22,A,1978-10-31 06:00,
NTN,NC06,Beaufort,Carteret,NC,34.8846,-76.6207,2,A,1999-01-26 06:00,
NTN,NC11,Research Triangle Institute,Durham,NC,35.9025,-78.8700,99,I,1980-10-14 05:00,1983-01-04 06:00
NTN,NC17,University Research Farm,Guilford,NC,36.0672,-79.7344,238,I,2015-01-30 06:00,2019-04-30 05:00
NTN,NC25,Coweeta,Macon,NC,35.0605,-83.4305,686,A,1978-07-05 05:00,
NTN,NC29,Hofmann Forest,Onslow,NC,34.8250,-77.3228,14,A,2002-07-02 05:00,
NTN,NC30,Duke Forest,Orange,NC,35.9709,-79.0933,174,A,2020-03-03 06:00,
NTN,NC33,Research Triangle Park,Durham,NC,35.8964,-78.8606,94,I,1980-04-15 05:00,1983-03-01 06:00
NTN,NC34,Piedmont Research Station,Rowan,NC,35.6970,-80.6225,219,A,1978-10-17 05:00,
NTN,NC35,Clinton Crops Research Station,Sampson,NC,35.0258,-78.2783,41,A,1978-10-24 05:00,
NTN,NC36,Jordan Creek,Scotland,NC,34.9705,-79.5281,132,A,1983-10-18 05:00,
NTN,NC41,Finley Farm,Wake,NC,35.7288,-78.6802,120,A,1978-10-03 05:00,
NTN,NC45,Mt. Mitchell,Yancey,NC,35.7353,-82.2861,1987,A,1985-11-26 06:00,
NTN,ND00,Theodore Roosevelt National Park-Painted Canyon,Billings,ND,46.8951,-103.3780,863,A,2001-01-30 06:00,
NTN,ND07,Theodore Roosevelt National Park-North Unit Headquarters,McKenzie,ND,47.6014,-103.2642,611,I,1981-05-05 05:00,2000-12-12 06:00
NTN,ND08,Icelandic State Park,Pembina,ND,48.7820,-97.7546,306,A,1983-10-25 05:00,
NTN,ND11,Woodworth,Stutsman,ND,47.1247,-99.2381,578,A,1983-11-29 06:00,
NTN,NE15,Mead,Saunders,NE,41.1528,-96.4912,352,A,1978-07-25 05:00,
NTN,NE99,North Platte Agricultural Experiment Station,Lincoln,NE,41.0592,-100.7464,919,A,1985-09-24 05:00,
NTN,NH02,Hubbard Brook,Grafton,NH,43.9433,-71.7029,250,A,1978-07-25 05:00,
NTN,NJ00,Edwin B. Forsythe National Wildlife Refuge,Atlantic,NJ,39.4728,-74.4369,2,A,1998-10-13 05:00,
NTN,NJ29,Princeton,Mercer,NJ,40.3456,-74.6169,37,I,1980-08-06 05:00,1981-07-07 05:00
NTN,NJ39,Cattus Island County Park,Ocean,NJ,39.9894,-74.1344,1,A,2012-12-04 06:00,
NTN,NJ99,Washington Crossing,Mercer,NJ,40.3154,-74.8536,72,A,1981-08-04 05:00,
NTN,NM01,Gila Cliff Dwellings National Monument,Catron,NM,33.2203,-108.2347,1772,I,1985-07-29 05:00,2012-09-25 05:00
NTN,NM07,Bandelier National Monument,Los Alamos,NM,35.7788,-106.2660,1997,A,1982-06-22 05:00,
NTN,NM08,Mayhill,Otero,NM,32.9096,-105.4710,2022,A,1984-01-24 06:00,
NTN,NM09,Cuba,Sandoval,NM,36.0408,-106.9714,2124,I,1982-02-03 06:00,2000-04-04 05:00
NTN,NM12,Capulin Volcano National Monument,Union,NM,36.7790,-103.9810,2190,I,1984-11-15 06:00,2012-09-25 05:00
NTN,NV00,Red Rock Canyon,Clark,NV,36.1358,-115.4256,1137,I,1985-01-22 06:00,2002-12-10 06:00
NTN,NV01,Saval Ranch,Elko,NV,41.2853,-115.8522,1872,I,1984-07-18 05:00,1997-03-25 06:00
NTN,NV03,Smith Valley,Lyon,NV,38.7992,-119.2567,1501,A,1985-08-07 05:00,
NTN,NV05,Great Basin National Park-Lehman Caves,White Pine,NV,39.0054,-114.2170,2066,A,1985-01-15 06:00,
NTN,NY01,Alfred,Allegany,NY,42.2276,-77.8016,697,A,2004-08-17 05:00,
NTN,NY06,Bronx,Bronx,NY,40.8680,-73.8782,68,A,2013-01-22 06:00,
NTN,NY08,Aurora Research Farm,Cayuga,NY,42.7339,-76.6597,249,A,1979-04-17 05:00,
NTN,NY10,Chautauqua,Chautauqua,NY,42.2994,-79.3964,488,A,1980-06-10 05:00,
NTN,NY12,Knobit,Columbia,NY,42.3783,-73.5028,406,I,1980-01-02 06:00,1985-08-06 05:00
NTN,NY20,Huntington Wildlife,Essex,NY,43.9731,-74.2231,500,A,1978-10-31 06:00,
NTN,NY22,Akwesasne Mohawk-Fort Covington,Franklin,NY,44.9226,-74.4806,70,A,1999-08-18 05:00,
NTN,NY28,Piseco Lake,Hamilton,NY,43.4336,-74.5002,519,A,2012-12-31 06:00,
NTN,NY29,Moss Lake,Herkimer,NY,43.7868,-74.8429,566,I,2003-07-29 05:00,2014-12-30 06:00
NTN,NY43,Rochester,Monroe,NY,43.1463,-77.5482,136,A,2013-04-30 05:00,
NTN,NY51,Stilwell Lake,Orange,NY,41.3500,-74.0394,186,I,1979-06-26 05:00,1984-10-02 05:00
NTN,NY52,Bennett Bridge,Oswego,NY,43.5282,-75.9492,247,A,1980-06-10 05:00,
NTN,NY59,Wanakena,St. Lawrence,NY,44.1461,-74.9025,468,A,2013-01-02 06:00,
NTN,NY65,Jasper,Steuben,NY,42.1064,-77.5358,634,I,1980-02-19 06:00,2004-06-15 05:00
NTN,NY67,Ithaca,Tompkins,NY,42.4014,-76.6589,503,A,2018-01-02 06:00,
NTN,NY68,Biscuit Brook,Ulster,NY,41.9936,-74.5031,634,A,1983-10-11 05:00,
NTN,NY92,Amherst,Erie,NY,42.9931,-78.7717,183,A,2013-10-29 05:00,
NTN,NY93,Paul Smith's,Franklin,NY,44.4340,-74.2460,498,A,2013-01-01 06:00,
NTN,NY94,Nick's Lake,Herkimer,NY,43.6833,-74.9833,525,A,2015-11-03 06:00,
NTN,NY96,Cedar Beach-Southold,Suffolk,NY,41.0347,-72.3891,1,A,2003-11-25 06:00,
